p,beta,classical_value,quantum_value,gap,classical_oracle_value,classical_oracle_abs_error,deterministic_strategy_count
0.17,0.02,0.965456,0.965456,0.0,0.965456,0.0,16
0.18,0.02,0.9616960000000001,0.9616960000000001,0.0,0.9616960000000001,0.0,16
0.19,0.02,0.9577440000000002,0.957744,-1.1102230246251565e-16,0.9577440000000002,0.0,16
0.2,0.02,0.9536,0.9536000000000001,1.1102230246251565e-16,0.9536000000000002,2.220446049250313e-16,16
0.21,0.02,0.9492640000000001,0.949264,-1.1102230246251565e-16,0.9492640000000001,0.0,16
0.22,0.02,0.944736,0.944736,0.0,0.944736,0.0,16
0.23,0.02,0.940016,0.940016,0.0,0.940016,0.0,16
0.24,0.02,0.9351039999999999,0.935104,1.1102230246251565e-16,0.935104,1.1102230246251565e-16,16
0.25,0.02,0.9299999999999999,0.93,1.1102230246251565e-16,0.9299999999999999,0.0,16
0.26,0.02,0.924704,0.924704,0.0,0.9247040000000001,1.1102230246251565e-16,16
0.27,0.02,0.919216,0.919216,0.0,0.9192159999999998,2.220446049250313e-16,16
0.28,0.02,0.9135359999999999,0.913536,1.1102230246251565e-16,0.9135359999999999,0.0,16
0.29,0.02,0.907664,0.9076866773589738,2.2677358973766104e-05,0.9076639999999998,2.220446049250313e-16,16
0.3,0.02,0.9016,0.9020031840669921,0.00040318406699213494,0.9016,0.0,16
0.31,0.02,0.8953439999999999,0.8965969343502291,0.0012529343502292178,0.8953439999999999,0.0,16
0.32,0.02,0.8888959999999999,0.8914679282086848,0.002571928208684904,0.8888959999999999,0.0,16
0.33,0.02,0.8822559999999999,0.886616165642359,0.004360165642359082,0.8822559999999999,0.0,16
0.34,0.02,0.875424,0.8820416466512518,0.006617646651251863,0.8754239999999999,1.1102230246251565e-16,16
0.35,0.02,0.8684000000000001,0.8777443712353633,0.009344371235363247,0.8684000000000001,0.0,16
0.36,0.02,0.861184,0.8737243393946934,0.012540339394693456,0.861184,0.0,16
0.37,0.02,0.8537760000000001,0.8699815511292421,0.016205551129242046,0.8537760000000001,0.0,16
0.38,0.02,0.846176,0.8665160064390094,0.02034000643900935,0.846176,0.0,16
0.39,0.02,0.838384,0.8633277053239954,0.02494370532399537,0.8383839999999999,1.1102230246251565e-16,16
0.4,0.02,0.8304,0.8604166477841999,0.03001664778419988,0.8303999999999999,1.1102230246251565e-16,16
0.41,0.02,0.8222240000000001,0.8577828338196231,0.03555883381962299,0.8222240000000001,0.0,16
0.42,0.02,0.8138560000000001,0.8554262634302648,0.04157026343026471,0.8138560000000001,0.0,16
0.43,0.02,0.805296,0.8533469366161253,0.04805093661612525,0.8052960000000001,1.1102230246251565e-16,16
0.44,0.02,0.796544,0.8515448533772042,0.05500085337720417,0.796544,0.0,16
0.45,0.02,0.7876000000000001,0.8500200137135019,0.06242001371350181,0.7876000000000001,0.0,16
0.46,0.02,0.778464,0.8487724176250181,0.07030841762501805,0.778464,0.0,16
0.47,0.02,0.769136,0.8478020651117529,0.07866606511175289,0.7691359999999999,1.1102230246251565e-16,16
0.48,0.02,0.759616,0.8471089561737064,0.08749295617370645,0.7596160000000001,1.1102230246251565e-16,16
0.49,0.02,0.7501,0.8466930908108784,0.09659309081087841,0.7501,0.0,16
0.5,0.02,0.75,0.8465544690232691,0.09655446902326914,0.75,0.0,16
0.51,0.02,0.7501,0.8466930908108784,0.09659309081087841,0.7501,0.0,16
0.52,0.02,0.759616,0.8471089561737064,0.08749295617370645,0.7596160000000001,1.1102230246251565e-16,16
0.53,0.02,0.769136,0.8478020651117529,0.07866606511175289,0.769136,0.0,16
0.54,0.02,0.778464,0.8487724176250181,0.07030841762501805,0.778464,0.0,16
0.55,0.02,0.7876000000000001,0.8500200137135018,0.0624200137135017,0.7876000000000001,0.0,16
0.56,0.02,0.796544,0.8515448533772042,0.05500085337720417,0.7965439999999999,1.1102230246251565e-16,16
0.57,0.02,0.805296,0.8533469366161252,0.04805093661612514,0.805296,0.0,16
0.58,0.02,0.8138559999999999,0.8554262634302648,0.04157026343026493,0.8138559999999999,0.0,16
0.59,0.02,0.822224,0.857782833819623,0.03555883381962299,0.822224,0.0,16
0.6,0.02,0.8304,0.8604166477841999,0.03001664778419988,0.8304,0.0,16
0.61,0.02,0.838384,0.8633277053239953,0.024943705323995258,0.838384,0.0,16
0.62,0.02,0.846176,0.8665160064390094,0.02034000643900935,0.846176,0.0,16
0.63,0.02,0.8537760000000001,0.8699815511292421,0.016205551129242046,0.8537760000000001,0.0,16
0.64,0.02,0.861184,0.8737243393946934,0.012540339394693456,0.861184,0.0,16
0.65,0.02,0.8684000000000001,0.8777443712353633,0.009344371235363247,0.8684000000000001,0.0,16
