epsilon,alpha,t_env_seconds,classical_bias,quantum_bias,classical_win_probability,noisy_quantum_win_probability,noisy_gap,epsilon_threshold,required_trials,expected_quantum_wins,certification_p_value,previous_round_p_value,required_rate_hz,required_rate_khz,reference_hardware_rate_hz,reference_hardware_rate_pass
0.061,0.05,0.001,0.5,0.7071067811865475,0.75,0.831986633767084,0.08198663376708404,0.2928932188134524,65,55,0.04465774483455032,0.051128934984848266,65000.0,65.0,7900.0,False
0.061,0.05,0.1,0.5,0.7071067811865475,0.75,0.831986633767084,0.08198663376708404,0.2928932188134524,65,55,0.04465774483455032,0.051128934984848266,650.0,0.65,7900.0,True
0.061,0.05,10.0,0.5,0.7071067811865475,0.75,0.831986633767084,0.08198663376708404,0.2928932188134524,65,55,0.04465774483455032,0.051128934984848266,6.5,0.0065,7900.0,True
0.061,0.001,0.001,0.5,0.7071067811865475,0.75,0.831986633767084,0.08198663376708404,0.2928932188134524,238,199,0.0009172732139019824,0.0010287854333067312,238000.0,238.0,7900.0,False
0.061,0.001,0.1,0.5,0.7071067811865475,0.75,0.831986633767084,0.08198663376708404,0.2928932188134524,238,199,0.0009172732139019824,0.0010287854333067312,2380.0,2.38,7900.0,True
0.061,0.001,10.0,0.5,0.7071067811865475,0.75,0.831986633767084,0.08198663376708404,0.2928932188134524,238,199,0.0009172732139019824,0.0010287854333067312,23.8,0.0238,7900.0,True
