efficiency,quantum_value,advantage
1.0,0.8123395588134514,0.02233955881345151
0.6666666666666666,0.7899999999999998,-1.1102230246251565e-16
0.8333333333333333,0.7899999999999993,-6.661338147750939e-16
0.9166666666666666,0.7899999999999996,-3.3306690738754696e-16
0.9583333333333333,0.7939504800894787,0.003950480089478736
0.9375,0.7900000000000003,3.3306690738754696e-16
0.9479166666666666,0.7914124425997264,0.0014124425997265044
0.9427083333333333,0.7903784827247259,0.00037848272472595923
0.9401041666666666,0.7900000000000003,3.3306690738754696e-16
0.94140625,0.7901419790878589,0.00014197908785895663
0.9407552083333333,0.7900268692542504,2.6869254250438956e-05
0.9404296875,0.7900000000000001,2.220446049250313e-16
0.9405924479166666,0.7899999999999996,-3.3306690738754696e-16
0.940673828125,0.7900126257515104,1.262575151050882e-05
0.9406331380208333,0.7900055160375454,5.516037545505448e-06
0.94061279296875,0.7900019641869278,1.964186927883027e-06
0.9406026204427083,0.7900001890128387,1.8901283882488684e-07
