case_id,scenario_id,distance_km,weighted_cost,changed_lever_count,state_infidelity,measurement_infidelity,detector_efficiency,optics_efficiency,tau_rot,tau_meas,tau_dec,tau_link,tau_occ,memory_lifetime,minimum_memory_qubits,memory_depth_sufficient,entanglement_success_probability,gamma_heg,r_heg,epsilon,epsilon_threshold,tau_mem_threshold,n_req,expected_score_threshold_at_n_req,p_value_or_bound_at_n_req,r_req,latency_constrained_regime,theoretical_advantage,memory_model_domain,memory_lifetime_criterion,fidelity_criterion,statistical_certification,rate_criterion,decision_criterion,network_model_domain,overall_operational_quantum_advantage,certification_search_limit_exceeded,constraint_violations,design_state_infidelity_scale,design_measurement_infidelity_scale,design_detector_headroom_fraction,design_optics_headroom_fraction,design_decision_time_scale,design_memory_lifetime_multiplier,design_n_memory_qubits,design_n_channels,cost_state_fidelity,cost_measurement_fidelity,cost_detector_efficiency,cost_optics_efficiency,cost_decision_speed,cost_memory_lifetime,cost_memory_count,cost_channel_count
ding_rate_stress_1s@25km,ding_rate_stress_1s,25.0,0.02127659574468085,1,0.04,0.002,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.00011904761904761905,0.00012159761904761904,7.9,210,True,0.030118343160867554,1724137.931034483,103856.35572712951,0.060932237588290916,0.07152330911474081,0.03019478524698656,65629,52065,0.04996130116376458,65629.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,1.0,0.0,0.0,1.0,1.0,250,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,0.1702127659574468,1,0.04,0.002,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,False,0.007142184702977588,1038873.663068536,66778.44826224951,0.060972100688815534,0.07152330911474081,0.05975636152999117,66133,52464,0.049955612031990254,66133.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,1.0,0.0,0.0,1.0,1.0,250,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1702127659574468
ding_rate_stress_1s@75km,ding_rate_stress_1s,75.0,0.38613637864270456,2,0.02,0.002,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.00035714285714285714,0.0003596928571428572,7.9,621,False,0.0016936789005619949,695037.4327303056,5885.851174580477,0.034558203188634895,0.07152330911474081,0.025477240506478743,5306,4254,0.049426498102628204,5306.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.5,1.0,0.0,0.0,1.0,1.0,250,5,0.30102999566398114,0.0,0.0,0.0,0.0,0.0,0.0,0.0851063829787234
ding_rate_stress_1s@100km,ding_rate_stress_1s,100.0,0.8786557360088134,2,0.01,0.002,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.0004761904761904762,0.0004787404761904762,7.9,826,False,0.0004016345610626656,522203.5997234807,2936.2901898439773,0.021371185087757927,0.07152330911474081,0.024931547674232207,2861,2306,0.04914481748732118,2861.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.25,1.0,0.0,0.0,1.0,1.0,250,14,0.6020599913279623,0.0,0.0,0.0,0.0,0.0,0.0,0.2765957446808511
ding_rate_stress_1s@125km,ding_rate_stress_1s,125.0,2.6020599913279625,3,0.01,0.002,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.0005952380952380953,0.0005977880952380953,7.9,1031,False,9.524256373889655e-05,700917.2704135482,3204.3435745466763,0.021411046386194066,0.07152330911474081,0.031131235265737748,2871,2314,0.04903048150294816,2871.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.25,1.0,0.0,0.0,1.0,1.0,419,48,0.6020599913279623,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ding_rate_decision_stress_1s@50km,ding_rate_decision_stress_1s,50.0,1.1702127659574468,2,0.04,0.002,0.9,0.8,5e-08,4.35e-07,4.85e-07,0.0002380952380952381,0.00024016023809523808,7.9,415,False,0.007142184702977588,1040971.6528547904,66913.30633727502,0.060971938287762706,0.07152330911474081,0.059635927668214204,66133,52464,0.049955612031990254,66133.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,1.0,0.0,0.0,0.5,1.0,250,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1702127659574468
correlated_asymmetric_fidelity_stress@50km,correlated_asymmetric_fidelity_stress,50.0,7.0,7,0.004,0.001,1.0,1.0,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,15.8,415,True,0.013777362467163552,1724137.931034483,1140195.5145238803,0.00934847395687044,0.011163226241249546,0.3444002694408668,1132017,979954,0.049997677576921994,1132017.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.1,0.5,1.0,1.0,1.0,2.0,419,48,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
