case_id,scenario_id,distance_km,weighted_cost,changed_lever_count,state_infidelity,measurement_infidelity,detector_efficiency,optics_efficiency,tau_rot,tau_meas,tau_dec,tau_link,tau_occ,memory_lifetime,minimum_memory_qubits,memory_depth_sufficient,entanglement_success_probability,gamma_heg,r_heg,epsilon,epsilon_threshold,tau_mem_threshold,n_req,expected_score_threshold_at_n_req,p_value_or_bound_at_n_req,r_req,latency_constrained_regime,theoretical_advantage,memory_model_domain,memory_lifetime_criterion,fidelity_criterion,statistical_certification,rate_criterion,decision_criterion,network_model_domain,overall_operational_quantum_advantage,certification_search_limit_exceeded,constraint_violations,design_state_infidelity_scale,design_measurement_infidelity_scale,design_detector_headroom_fraction,design_optics_headroom_fraction,design_decision_time_scale,design_memory_lifetime_multiplier,design_n_memory_qubits,design_n_channels,cost_state_fidelity,cost_measurement_fidelity,cost_detector_efficiency,cost_optics_efficiency,cost_decision_speed,cost_memory_lifetime,cost_memory_count,cost_channel_count
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,3.0425531914893615,4,0.04,0.001,1.0,1.0,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,False,0.013777362467163552,1038873.663068536,42938.81704105549,0.057197117964289945,0.07152330911474081,0.044243562893702834,35762,28413,0.0499850212670263,35762.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,0.5,1.0,1.0,1.0,1.0,250,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0425531914893617
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,0.1702127659574468,1,0.04,0.002,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,False,0.007142184702977588,1038873.663068536,66778.44826224951,0.060972100688815534,0.07152330911474081,0.05975636152999117,66133,52464,0.049955612031990254,66133.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,1.0,0.0,0.0,1.0,1.0,250,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1702127659574468
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,1.1063829787234043,2,0.04,0.002,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,True,0.007142184702977588,1724137.931034483,73884.66934114747,0.060972100688815534,0.07152330911474081,0.05975636152999117,66133,52464,0.049955612031990254,66133.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,1.0,0.0,0.0,1.0,1.0,419,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10638297872340426
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,1.1063829787234043,2,0.04,0.002,0.9,1.0,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,False,0.011159663598402479,1038873.663068536,69560.88360650989,0.060972100688815534,0.07152330911474081,0.05975636152999117,66133,52464,0.049955612031990254,66133.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,1.0,0.0,1.0,1.0,1.0,250,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10638297872340426
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,2.0638297872340425,3,0.04,0.002,0.9,1.0,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,True,0.011159663598402479,1724137.931034483,76963.19723036194,0.060972100688815534,0.07152330911474081,0.05975636152999117,66133,52464,0.049955612031990254,66133.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,1.0,0.0,1.0,1.0,1.0,419,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.06382978723404255
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,1.148936170212766,2,0.04,0.002,1.0,0.8,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,False,0.008817511978984675,1038873.663068536,73282.24775006804,0.060972100688815534,0.07152330911474081,0.05975636152999117,66133,52464,0.049955612031990254,66133.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,1.0,1.0,0.0,1.0,1.0,250,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.14893617021276595
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,2.0851063829787235,3,0.04,0.002,1.0,0.8,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,True,0.008817511978984675,1724137.931034483,76013.03430159202,0.060972100688815534,0.07152330911474081,0.05975636152999117,66133,52464,0.049955612031990254,66133.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,1.0,1.0,0.0,1.0,1.0,419,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0851063829787234
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,2.0851063829787235,3,0.04,0.002,1.0,1.0,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,False,0.013777362467163552,1038873.663068536,71564.6950684258,0.060972100688815534,0.07152330911474081,0.05975636152999117,66133,52464,0.049955612031990254,66133.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,1.0,1.0,1.0,1.0,1.0,250,5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0851063829787234
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,3.0425531914893615,4,0.04,0.002,1.0,1.0,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,True,0.013777362467163552,1724137.931034483,71262.21965774252,0.060972100688815534,0.07152330911474081,0.05975636152999117,66133,52464,0.049955612031990254,66133.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,1.0,1.0,1.0,1.0,1.0,419,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0425531914893617
ding_rate_stress_1s@75km,ding_rate_stress_1s,75.0,3.0,3,0.004,0.001,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.00035714285714285714,0.0003596928571428572,7.9,621,False,0.0016936789005619949,1164882.7372559921,1972.9373137193759,0.009428948715203278,0.07152330911474081,0.01517496260250325,1857,1504,0.0489131227322725,1857.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.1,0.5,0.0,0.0,1.0,1.0,419,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
ding_rate_stress_1s@75km,ding_rate_stress_1s,75.0,1.0212765957446808,2,0.004,0.002,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.00035714285714285714,0.0003596928571428572,7.9,621,False,0.0016936789005619949,695037.4327303056,2354.340469832191,0.013395195188634856,0.07152330911474081,0.016155047088114178,2111,1707,0.04955595948730238,2111.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.1,1.0,0.0,0.0,1.0,1.0,250,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085
ding_rate_stress_1s@75km,ding_rate_stress_1s,75.0,3.0,3,0.004,0.002,1.0,0.8,1e-07,8.7e-07,9.7e-07,0.00035714285714285714,0.0003596928571428572,7.9,621,False,0.0020909616056320923,1164882.7372559921,2435.725078665896,0.013395195188634856,0.07152330911474081,0.016155047088114178,2111,1707,0.04955595948730238,2111.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.1,1.0,1.0,0.0,1.0,1.0,419,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ding_rate_stress_1s@75km,ding_rate_stress_1s,75.0,3.0,3,0.004,0.002,1.0,1.0,1e-07,8.7e-07,9.7e-07,0.00035714285714285714,0.0003596928571428572,7.9,621,False,0.0032671275088001434,695037.4327303056,2270.7759161190106,0.013395195188634856,0.07152330911474081,0.016155047088114178,2111,1707,0.04955595948730238,2111.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.1,1.0,1.0,1.0,1.0,1.0,250,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ding_rate_stress_1s@75km,ding_rate_stress_1s,75.0,3.6020599913279625,4,0.01,0.001,1.0,0.8,1e-07,8.7e-07,9.7e-07,0.00035714285714285714,0.0003596928571428572,7.9,621,False,0.0020909616056320923,1164882.7372559921,2435.725078665896,0.017396980715203236,0.07152330911474081,0.017430528462527163,2434,1965,0.04992064219254406,2434.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.25,0.5,1.0,0.0,1.0,1.0,419,1,0.6020599913279623,1.0,1.0,0.0,0.0,0.0,1.0,0.0
ding_rate_stress_1s@75km,ding_rate_stress_1s,75.0,0.6446131828173239,2,0.01,0.002,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.00035714285714285714,0.0003596928571428572,7.9,621,False,0.0016936789005619949,695037.4327303056,3531.510704748286,0.021331323188634843,0.07152330911474081,0.01873186008272667,2856,2302,0.04920192757135214,2856.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.25,1.0,0.0,0.0,1.0,1.0,250,3,0.6020599913279623,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617
