utility_family,beta1,beta2,epsilon,classical_bias,quantum_bias,classical_value,ideal_quantum_value,ideal_gap,noisy_quantum_value,noisy_gap,epsilon_threshold
symmetric,0.0,0.0,0.0,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8535533905932737,0.10355339059327373,0.2928932188134524
symmetric,0.0,0.0,0.001,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8531998372026804,0.10319983720268044,0.2928932188134524
symmetric,0.0,0.0,0.002,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8528462838120872,0.10284628381208716,0.2928932188134524
symmetric,0.0,0.0,0.003,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.852492730421494,0.10249273042149393,0.2928932188134524
symmetric,0.0,0.0,0.004,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8521391770309006,0.10213917703090064,0.2928932188134524
symmetric,0.0,0.0,0.005,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8517856236403074,0.10178562364030735,0.2928932188134524
symmetric,0.0,0.0,0.006,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.851432070249714,0.10143207024971407,0.2928932188134524
symmetric,0.0,0.0,0.007,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8510785168591208,0.10107851685912084,0.2928932188134524
symmetric,0.0,0.0,0.008,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8507249634685276,0.10072496346852755,0.2928932188134524
symmetric,0.0,0.0,0.009,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8503714100779343,0.10037141007793426,0.2928932188134524
symmetric,0.0,0.0,0.01,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.850017856687341,0.10001785668734098,0.2928932188134524
symmetric,0.0,0.0,0.011,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8496643032967477,0.09966430329674769,0.2928932188134524
symmetric,0.0,0.0,0.012,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8493107499061545,0.09931074990615446,0.2928932188134524
symmetric,0.0,0.0,0.013,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8489571965155611,0.09895719651556117,0.2928932188134524
symmetric,0.0,0.0,0.014,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8486036431249679,0.09860364312496789,0.2928932188134524
symmetric,0.0,0.0,0.015,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8482500897343745,0.0982500897343746,0.2928932188134524
symmetric,0.0,0.0,0.016,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8478965363437814,0.09789653634378137,0.2928932188134524
symmetric,0.0,0.0,0.017,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8475429829531881,0.09754298295318808,0.2928932188134524
symmetric,0.0,0.0,0.018,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8471894295625948,0.0971894295625948,0.2928932188134524
symmetric,0.0,0.0,0.019,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8468358761720015,0.09683587617200151,0.2928932188134524
symmetric,0.0,0.0,0.02,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8464823227814082,0.09648232278140823,0.2928932188134524
symmetric,0.0,0.0,0.021,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.846128769390815,0.096128769390815,0.2928932188134524
symmetric,0.0,0.0,0.022,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8457752160002217,0.09577521600022171,0.2928932188134524
symmetric,0.0,0.0,0.023,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8454216626096285,0.09542166260962842,0.2928932188134524
symmetric,0.0,0.0,0.024,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8450681092190351,0.09506810921903514,0.2928932188134524
symmetric,0.0,0.0,0.025,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8447145558284419,0.0947145558284419,0.2928932188134524
symmetric,0.0,0.0,0.026,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8443610024378486,0.09436100243784862,0.2928932188134524
symmetric,0.0,0.0,0.027,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8440074490472553,0.09400744904725533,0.2928932188134524
symmetric,0.0,0.0,0.028,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.843653895656662,0.09365389565666205,0.2928932188134524
symmetric,0.0,0.0,0.029,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8433003422660688,0.09330034226606876,0.2928932188134524
symmetric,0.0,0.0,0.03,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8429467888754756,0.09294678887547553,0.2928932188134524
symmetric,0.0,0.0,0.031,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8425932354848822,0.09259323548488224,0.2928932188134524
symmetric,0.0,0.0,0.032,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.842239682094289,0.09223968209428896,0.2928932188134524
symmetric,0.0,0.0,0.033,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8418861287036956,0.09188612870369567,0.2928932188134524
symmetric,0.0,0.0,0.034,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8415325753131024,0.09153257531310244,0.2928932188134524
symmetric,0.0,0.0,0.035,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8411790219225092,0.09117902192250915,0.2928932188134524
symmetric,0.0,0.0,0.036,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8408254685319159,0.09082546853191587,0.2928932188134524
symmetric,0.0,0.0,0.037,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8404719151413226,0.09047191514132258,0.2928932188134524
symmetric,0.0,0.0,0.038,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8401183617507293,0.09011836175072929,0.2928932188134524
symmetric,0.0,0.0,0.039,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8397648083601361,0.08976480836013606,0.2928932188134524
symmetric,0.0,0.0,0.04,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8394112549695427,0.08941125496954277,0.2928932188134524
symmetric,0.0,0.0,0.041,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8390577015789495,0.08905770157894949,0.2928932188134524
symmetric,0.0,0.0,0.042,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8387041481883561,0.0887041481883562,0.2928932188134524
symmetric,0.0,0.0,0.043,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.838350594797763,0.08835059479776297,0.2928932188134524
symmetric,0.0,0.0,0.044,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8379970414071697,0.08799704140716968,0.2928932188134524
symmetric,0.0,0.0,0.045,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8376434880165764,0.0876434880165764,0.2928932188134524
symmetric,0.0,0.0,0.046,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8372899346259831,0.08728993462598311,0.2928932188134524
symmetric,0.0,0.0,0.047,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8369363812353898,0.08693638123538983,0.2928932188134524
symmetric,0.0,0.0,0.048,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8365828278447967,0.0865828278447966,0.2928932188134524
symmetric,0.0,0.0,0.049,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8362292744542033,0.08622927445420331,0.2928932188134524
symmetric,0.0,0.0,0.05,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8358757210636101,0.08587572106361002,0.2928932188134524
symmetric,0.0,0.0,0.051,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8355221676730167,0.08552216767301674,0.2928932188134524
symmetric,0.0,0.0,0.052,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8351686142824235,0.0851686142824235,0.2928932188134524
symmetric,0.0,0.0,0.053,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8348150608918302,0.08481506089183022,0.2928932188134524
symmetric,0.0,0.0,0.054,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8344615075012369,0.08446150750123693,0.2928932188134524
symmetric,0.0,0.0,0.055,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8341079541106436,0.08410795411064365,0.2928932188134524
symmetric,0.0,0.0,0.056,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8337544007200504,0.08375440072005036,0.2928932188134524
symmetric,0.0,0.0,0.057,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8334008473294572,0.08340084732945713,0.2928932188134524
symmetric,0.0,0.0,0.058,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8330472939388638,0.08304729393886384,0.2928932188134524
symmetric,0.0,0.0,0.059,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8326937405482706,0.08269374054827061,0.2928932188134524
symmetric,0.0,0.0,0.06,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8323401871576772,0.08234018715767727,0.2928932188134524
symmetric,0.0,0.0,0.061,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.831986633767084,0.08198663376708404,0.2928932188134524
symmetric,0.0,0.0,0.062,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8316330803764908,0.08163308037649075,0.2928932188134524
symmetric,0.0,0.0,0.063,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8312795269858975,0.08127952698589752,0.2928932188134524
symmetric,0.0,0.0,0.064,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8309259735953042,0.08092597359530418,0.2928932188134524
symmetric,0.0,0.0,0.065,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8305724202047109,0.08057242020471095,0.2928932188134524
symmetric,0.0,0.0,0.066,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8302188668141177,0.08021886681411766,0.2928932188134524
symmetric,0.0,0.0,0.067,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8298653134235244,0.07986531342352443,0.2928932188134524
symmetric,0.0,0.0,0.068,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8295117600329311,0.07951176003293109,0.2928932188134524
symmetric,0.0,0.0,0.069,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8291582066423379,0.07915820664233786,0.2928932188134524
symmetric,0.0,0.0,0.07,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8288046532517446,0.07880465325174457,0.2928932188134524
symmetric,0.0,0.0,0.071,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8284510998611513,0.07845109986115129,0.2928932188134524
symmetric,0.0,0.0,0.072,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.828097546470558,0.07809754647055805,0.2928932188134524
symmetric,0.0,0.0,0.073,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8277439930799648,0.07774399307996477,0.2928932188134524
symmetric,0.0,0.0,0.074,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8273904396893714,0.07739043968937148,0.2928932188134524
symmetric,0.0,0.0,0.075,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8270368862987783,0.0770368862987782,0.2928932188134524
symmetric,0.0,0.0,0.076,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.826683332908185,0.07668333290818496,0.2928932188134524
symmetric,0.0,0.0,0.077,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8263297795175917,0.07632977951759168,0.2928932188134524
symmetric,0.0,0.0,0.078,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.8259762261269984,0.07597622612699839,0.2928932188134524
