scenario_id,ding_ideal_gap,li_ideal_gap,model_transition_gap_change,epsilon,epsilon_threshold,noisy_gap,physical_gap_retained_fraction,statistics_method,alpha,n_req,p_value_or_bound_at_n_req,t_env,r_req,r_heg,tau_dec,t_loc,t_comm,theoretical_advantage,fidelity_criterion,statistical_certification,rate_criterion,decision_criterion,latency_constrained_regime,overall_operational_quantum_advantage,first_failed_criterion,dominant_bottleneck
uniform_chsh_reference,0.10355339059327373,0.10355339059327373,0.0,0.060972738493541345,0.2928932188134524,0.08199627216512517,0.7918260493003231,exact_binomial,0.05,65,0.04465774483455032,1.0,65.0,7854.545454545455,9.7e-07,1e-05,0.00024,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,fidelity_criterion
ding_representative_10s,0.02233955881380112,0.02233955881380123,1.1102230246251565e-16,0.060972738493541345,0.07152330911474081,0.0032953605730592916,0.1475123390092843,general_score_bound,0.05,66133,0.049955612031990254,10.0,6613.3,7854.545454545455,9.7e-07,1e-05,0.00024,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,fidelity_criterion
ding_representative_1s_rate_limited,0.02233955881380112,0.02233955881380123,1.1102230246251565e-16,0.060972738493541345,0.07152330911474081,0.0032953605730592916,0.1475123390092843,general_score_bound,0.05,66133,0.049955612031990254,1.0,66133.0,7854.545454545455,9.7e-07,1e-05,0.00024,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,rate_criterion,rate_criterion
correlated_asymmetric_generalized,0.08634060117684272,0.04039660069381057,-0.045944000483032155,0.060972738493541345,0.11528822087264112,0.019031960390681113,0.4711277697580412,general_score_bound,0.05,1772,0.04958773811589441,1.0,1772.0,7854.545454545455,9.7e-07,1e-05,0.00024,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,fidelity_criterion
correlated_asymmetric_fidelity_limited,0.07015621187164245,0.004120576505835083,-0.06603563536580737,0.060972738493541345,0.011163226241249546,-0.018385715878040443,-4.461928046234482,general_score_bound,0.05,,,1.0,,7854.545454545455,9.7e-07,1e-05,0.00024,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,fidelity_criterion,fidelity_criterion
decision_latency_limited,0.10355339059327373,0.10355339059327373,0.0,0.060972738493541345,0.2928932188134524,0.08199627216512517,0.7918260493003231,exact_binomial,0.05,65,0.04465774483455032,1.0,65.0,7854.545454545455,9.7e-07,5e-07,0.00024,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,decision_criterion,decision_criterion
utility_flat_limit,0.0,0.0,0.0,0.060972738493541345,0.0,-0.015243184623385336,,general_score_bound,0.05,,,1.0,,7854.545454545455,9.7e-07,1e-05,0.00024,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,theoretical_advantage,theoretical_advantage
communication_regime_invalid,0.10355339059327373,0.10355339059327373,0.0,0.060972738493541345,0.2928932188134524,0.08199627216512517,0.7918260493003231,exact_binomial,0.05,65,0.04465774483455032,1.0,65.0,7854.545454545455,9.7e-07,0.00024,0.00024,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,latency_constrained_regime,latency_constrained_regime
