probability_one,beta,classical_bias,quantum_bias,classical_value,quantum_value,gap,phase_offset,phase_step_1,phase_step_2,phase_step_3
0.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,0.0
0.01,0.0,0.9994040000000001,0.999404,0.9997020000000001,0.999702,-1.1102230246251565e-16,-0.0,0.0,0.0,0.0
0.02,0.0,0.997632,0.997632,0.9988159999999999,0.9988159999999999,0.0,-0.0,0.0,0.0,0.0
0.03,0.0,0.9947079999999999,0.9947079999999999,0.997354,0.997354,0.0,-0.0,0.0,0.0,0.0
0.04,0.0,0.9906559999999999,0.990656,0.995328,0.995328,0.0,-0.0,0.0,0.0,0.0
0.05,0.0,0.9854999999999999,0.9854999999999998,0.99275,0.9927499999999999,-1.1102230246251565e-16,-0.0,0.0,0.0,0.0
0.06,0.0,0.9792639999999999,0.9792639999999998,0.989632,0.9896319999999998,-1.1102230246251565e-16,-0.0,0.0,0.0,0.0
0.07,0.0,0.9719719999999998,0.9719719999999998,0.9859859999999999,0.9859859999999999,0.0,-0.0,0.0,0.0,0.0
0.08,0.0,0.9636480000000001,0.9636480000000001,0.981824,0.981824,0.0,-0.0,0.0,0.0,0.0
0.09,0.0,0.954316,0.954316,0.977158,0.977158,0.0,-0.0,0.0,0.0,0.0
0.1,0.0,0.9440000000000002,0.9440000000000002,0.9720000000000001,0.9720000000000001,0.0,-0.0,0.0,0.0,0.0
0.11,0.0,0.9327240000000001,0.9327240000000001,0.966362,0.966362,0.0,-0.0,0.0,0.0,0.0
0.12,0.0,0.920512,0.920512,0.960256,0.960256,0.0,-0.0,0.0,0.0,0.0
0.13,0.0,0.907388,0.9073880000000001,0.953694,0.953694,0.0,-0.0,0.0,0.0,0.0
0.14,0.0,0.893376,0.893376,0.946688,0.946688,0.0,-0.0,0.0,0.0,0.0
0.15,0.0,0.8784999999999998,0.8785,0.9392499999999999,0.9392499999999999,0.0,-0.0,0.0,0.0,0.0
0.16,0.0,0.8627839999999999,0.8627877754808811,0.931392,0.9313938877404406,1.8877404406314469e-06,-0.024037327278109467,0.10478566097164134,0.10478566097164134,0.10478566097164134
0.17,0.0,0.8462519999999999,0.8473313071183318,0.9231259999999999,0.9236656535591659,0.0005396535591659646,-0.10130966058444586,0.4231613979830257,0.4231613979830257,0.4231613979830257
0.18,0.0,0.8289280000000001,0.8329506735844072,0.914464,0.9164753367922036,0.002011336792203555,-0.1442266296560605,0.578163230668566,0.578163230668566,0.578163230668566
0.19,0.0,0.8108360000000001,0.8196071819215038,0.9054180000000001,0.9098035909607519,0.004385590960751862,-0.17949974789330236,0.6916344167644187,0.6916344167644187,0.6916344167644187
0.2,0.0,0.7920000000000001,0.8072619204888399,0.8960000000000001,0.9036309602444199,0.007630960244419782,-0.2110635173186932,0.7827937034215275,0.7827937034215275,0.7827937034215275
0.21,0.0,0.7724440000000001,0.7958757596169602,0.8862220000000001,0.89793787980848,0.01171587980847999,-0.24043633963646585,0.8594722926800621,0.8594722926800621,0.8594722926800621
0.22,0.0,0.7521920000000001,0.7854093545634727,0.876096,0.8927046772817364,0.016608677281736428,-0.26838042242418514,0.9258161989764659,0.9258161989764659,0.9258161989764659
0.23,0.0,0.7312679999999999,0.7758231512860213,0.865634,0.8879115756430107,0.022277575643010694,-0.2953332893616255,0.9843427517302664,0.9843427517302664,0.9843427517302664
0.24,0.0,0.709696,0.7670773956384997,0.854848,0.8835386978192499,0.028690697819249822,-0.32156617881749805,1.036715862882312,1.036715862882312,1.036715862882312
0.25,0.0,0.6875,0.7591321466986855,0.84375,0.8795660733493427,0.03581607334934267,-0.3472544500243142,1.0841003469269122,1.0841003469269122,1.0841003469269122
