memory_count,effective_rate_hz,meets_target_event_rate
1,105.87303549954868,True
2,211.74607099909736,True
3,317.61910649864603,True
4,423.4921419981947,True
5,529.3651774977434,True
6,635.2382129972921,True
7,741.1112484968407,True
8,846.9842839963894,True
9,952.8573194959381,True
10,1058.7303549954868,True
