nu,p,beta,classical_value,noiseless_quantum_value,noisy_quantum_value,signed_noisy_gap,plotted_noisy_gap,theoretical_advantage
0.01,0.08,0.01,0.992128,0.992128,0.98720672,-0.004921280000000028,0.0,False
0.01,0.09,0.01,0.990262,0.990262,0.98535938,-0.004902619999999969,0.0,False
0.01,0.1,0.01,0.9882,0.9882000000000001,0.983318,-0.004881999999999942,0.0,False
0.01,0.11,0.01,0.985942,0.985942,0.9810825799999999,-0.004859420000000059,0.0,False
0.01,0.12,0.01,0.9834879999999999,0.983488,0.97865312,-0.004834879999999875,0.0,False
0.01,0.13,0.01,0.980838,0.9808380000000001,0.97602962,-0.0048083799999999455,0.0,False
0.01,0.14,0.01,0.977992,0.977992,0.9732120799999999,-0.004779920000000049,0.0,False
0.01,0.15,0.01,0.97495,0.97495,0.9702005,-0.004749499999999962,0.0,False
0.01,0.16,0.01,0.9717119999999999,0.9717119999999999,0.9669948799999999,-0.004717120000000019,0.0,False
0.01,0.17,0.01,0.968278,0.968278,0.96359522,-0.0046827799999999975,0.0,False
0.01,0.18,0.01,0.9646480000000001,0.9646480000000001,0.96000152,-0.004646480000000008,0.0,False
0.01,0.19,0.01,0.9608220000000001,0.9608220000000001,0.95621378,-0.004608220000000052,0.0,False
0.01,0.2,0.01,0.9568000000000001,0.9568000000000001,0.9522320000000001,-0.0045680000000000165,0.0,False
0.01,0.21,0.01,0.952582,0.952582,0.94805618,-0.004525820000000014,0.0,False
0.01,0.22,0.01,0.948168,0.948168,0.94368632,-0.004481680000000043,0.0,False
0.01,0.23,0.01,0.943558,0.943558,0.93912242,-0.0044355799999999945,0.0,False
0.01,0.24,0.01,0.938752,0.938752,0.93436448,-0.004387519999999978,0.0,False
0.01,0.25,0.01,0.93375,0.93375,0.9294125,-0.004337499999999994,0.0,False
0.01,0.26,0.01,0.928552,0.928552,0.92426648,-0.004285520000000043,0.0,False
0.01,0.27,0.01,0.9231579999999999,0.9231579999999999,0.9189264199999999,-0.0042315800000000126,0.0,False
0.01,0.28,0.01,0.9175679999999999,0.9175679999999999,0.9133923199999999,-0.004175680000000015,0.0,False
0.01,0.29,0.01,0.911782,0.911782012142347,0.9076641920209235,-0.00411780797907646,0.0,False
0.01,0.3,0.01,0.9057999999999999,0.9060414264579416,0.9019810121933622,-0.003818987806637697,0.0,False
0.01,0.31,0.01,0.8996219999999999,0.9005808693435071,0.8965750606500721,-0.003046939349927835,0.0,False
0.01,0.32,0.01,0.8932479999999999,0.8954003407990438,0.8914463373910534,-0.0018016626089465415,0.0,False
0.01,0.33,0.01,0.8866779999999999,0.8904998408245515,0.8865948424163059,-8.31575836939269e-05,0.0,False
0.01,0.34,0.01,0.8799119999999999,0.88587936942003,0.8820205757258297,0.0021085757258297866,0.0021085757258297866,True
0.01,0.35,0.01,0.87295,0.8815389265854796,0.8777235373196248,0.004773537319624821,0.004773537319624821,True
